current_filename,subspecialty,extracted_author,extracted_year,extracted_journal,extracted_title,suggested_filename,confidence,confidence_level,status
"JBJS 2000 anatomy of medial femoral circumflex.pdf",GENERAL,"Bern",2000,"JBJS","JBJS 2000 anatomy of medial femoral circumflex","2000_Bern_JBJS_Jbjs 2000 Anatomy of Medial Femoral Circumflex",1.00,high,pending
"JOT 2015 Gerdy's.pdf",GENERAL,"Donegan",2014,"JOT","JOT 2015 Gerdy's","2014_Donegan_JOT_Jot 2015 Gerdy's",1.00,high,pending
"SurgRadAnat 2014 Common Peroneal Nerve Location.pdf",GENERAL,"",2013,"CORR","SurgRadAnat 2014 Common Peroneal Nerve Location","2013_Unknown_CORR_Surg Rad Anat 2014 Common Peroneal Nerve Location",0.75,high,pending
"12533564.pdf",GENERAL,"",2003,"JBJS","The PDF of the article you requested follows this cover page.","2003_Unknown_JBJS_The Pdf of the Article You Requested Follows This",0.75,high,pending
"AAOS info statement tobacco in ortho .pdf",GENERAL,"",,"JAAOS","AAOS info statement tobacco in ortho ","Unknown_Unknown_JAAOS_Aaos Info Statement Tobacco in Ortho",0.50,medium,pending
"CRPS epidemiology.pdf",GENERAL,"",2006,"CORR","CRPS epidemiology","2006_Unknown_CORR_Crps Epidemiology",0.75,high,pending
"CRPS grey matter study.pdf",GENERAL,"",,"CORR","CRPS grey matter study","Unknown_Unknown_CORR_Crps Grey Matter Study",0.50,medium,pending
"CRPS Lancet 2003.pdf",GENERAL,"",2003,"Lancet","CRPS Lancet 2003","2003_Unknown_Lancet_Crps Lancet 2003",0.75,high,pending
"CRPS Mayo Clinic 2003.pdf",GENERAL,"",2002,"CORR","CRPS Mayo Clinic 2003","2002_Unknown_CORR_Crps Mayo Clinic 2003",0.75,high,pending
"CRPS review.pdf",GENERAL,"",,"CORR","CRPS review","Unknown_Unknown_CORR_Crps Review",0.50,medium,pending
"Epidemiology.pdf",GENERAL,"Care",1998,"CORR","Epidemiology","1998_Care_CORR_Epidemiology",1.00,high,pending
"HTA 2005 evidence based DVT ppx.pdf",GENERAL,"",,"CORR","HTA 2005 evidence based DVT ppx","Unknown_Unknown_CORR_Hta 2005 Evidence Based Dvt Ppx",0.50,medium,pending
"JAAOS 2007 Bong IMN LE biomechanisc and biology .pdf",GENERAL,"Bong",2007,"JAAOS","JAAOS 2007 Bong IMN LE biomechanisc and biology ","2007_Bong_JAAOS_Jaaos 2007 Bong Imn Le Biomechanisc and Biology",1.00,high,pending
